Publisher,Date,UPC,UPCextra,VariantName,Variant frequency,Series,Story,Issue,Condition,Paid,Purchased,Value,Valuation date,Writer,Illustrator
Marvel,2015-01-14,75960608113,112,2nd printing,,Star Wars,Skywalker Strikes (6 part),1,9.8,2.8,2015-01-14,2.8,2019-06-10,Aaron,Cassaday
Marvel,2015-02-04,75960608113,211,None,,Star Wars,Skywalker Strikes (6 part),2,9.8,2.8,2015-02-04,2.8,2019-06-10,Aaron,Cassaday
Marvel,2015-03-04,,121,Kid variant,,Star Wars: Princess Leia,,1,9.8,2.8,2015-03-04,10,2019-11-24,,
Marvel,2015-03-11,75960608113,311,None,,Star Wars,Skywalker Strikes (6 part),3,9.8,2.8,2015-03-11,2.8,2019-06-10,Aaron,Cassaday
Marvel,2015-04-22,75960608113,411,None,,Star Wars,Skywalker Strikes (6 part),4,9.8,2.8,2015-04-22,2.8,2019-06-10,Aaron,Cassaday
Marvel,2015-05-20,75960608113,511,None,,Star Wars,Skywalker Strikes (6 part),5,9.8,2.8,2015-05-20,2.8,2019-06-10,Aaron,Cassaday
Marvel,2015-06-03,75960608113,611,None,,Star Wars,Skywalker Strikes (6 part),6,9.8,2.8,2015-06-03,2.8,2019-06-10,Aaron,Cassaday
Marvel,2015-07-08,,131,Action figure variant,,Star Wars: Lando,,1,9.8,2.8,2015-07-08,6,2019-11-24,,
Marvel,2015-07-08,,151,Movie photo variant,,Star Wars: Lando,,1,9.8,2.8,2015-07-08,7,2019-11-24,,
Marvel,2016-02-17,75960608113,1631,Sketch,1/100,Star Wars,Rebel Jail (4 part),16,9.8,10,2019-06-10,13,2019-06-10,Aaron,Yu
Marvel,2016-03-23,75960608113,1721,Sketch,1/100,Star Wars,Rebel Jail (4 part),17,9.8,10,2019-06-10,23,2019-06-10,Aaron,Yu
Marvel,2016-04-27,75960608113,1831,Sketch,1/100,Star Wars,Rebel Jail (4 part),18,9.8,10,2019-06-10,16,2019-06-10,Aaron,Yu
Marvel,2016-05-25,75960608113,1931,Sketch,1/100,Star Wars,Rebel Jail (4 part),19,9.6,10,2019-06-10,25,2019-06-10,Aaron,Yu
Marvel,2016-06-22,759606084937,111,None,,Star Wars: The Force Awakens,Star Wars: The Force Awakens,1,9.8,2.8,2016-06-22,2.8,2016-06-22,Wendig,Ross
Marvel,2016-07-27,759606084937,211,None,,Star Wars: The Force Awakens,Star Wars: The Force Awakens,2,9.8,2.8,2016-07-27,2.8,2016-07-27,Wendig,Ross
Marvel,2016-08-24,759606084937,311,None,,Star Wars: The Force Awakens,Star Wars: The Force Awakens,3,9.8,2.8,2016-08-24,2.8,2016-08-24,Wendig,Laming
